period,region,area,community,year_built,room_type,area_sqm,total_price_wan,unit_price_wan_sqm,negotiation_rate,deal_date
2026-03下,福田,香蜜湖,财富广场,2003,1室,49,513,10.51,-6.76,2026-03-22
2026-03下,福田,香蜜湖,财富广场,2003,1室,53,538,10.15,-2.18,2026-03-25
2026-03下,福田,香蜜湖,瀚盛花园,2007,4室,136,1428,10.47,-4.80,2026-03-25
2026-03下,福田,香蜜湖,卓越香蜜山,2004,3室,135,850,6.31,-15.00,2026-03-30
2026-03下,福田,香蜜湖,侨香村,2011,3室,91,824,9.16,,2026-03-22
2026-03下,福田,香蜜湖,新天国家公馆,2005,5室,164,1670,10.16,-20.10,2026-03-22
2026-03下,福田,香蜜湖,中旅国际公馆1期,2003,1室,126,1700,13.59,,2026-03-31
2026-03下,福田,香蜜湖,中旅国际公馆,2005,1室,104,1480,14.25,-6.33,2026-03-31
2026-03下,福田,竹子林,安拉公馆,2018,6室,33,388,5.83,-86.05,2026-03-22
2026-03下,福田,竹子林,安拉公馆,2018,1室,33,365,5.83,-13.00,2026-03-24
2026-03下,福田,竹子林,安拉公馆,2018,1室,33,382,6.31,-8.98,2026-03-24
2026-03下,福田,竹子林,安拉公馆,2018,1室,57,333,5.88,-16.72,2026-03-24
2026-03下,福田,竹子林,安拉公馆,2018,1室,65,365,5.88,-13.00,2026-03-24
2026-03下,福田,竹子林,安拉公馆,2018,1室,65,383,5.88,-14.87,2026-03-31
2026-03下,福田,竹子林,东方旗舰,2022,3室,63,348,5.52,,2026-03-31
2026-03下,福田,竹子林,海珊苑,2023,3室,89,1090,12.25,-16.15,2026-03-29
2026-03下,福田,竹子林,金海花园,2003,2室,76,445,5.86,,2026-03-18
2026-03下,福田,竹子林,万科香蜜原著,2020,4室,178,2466,13.85,-4.42,2026-03-24
2026-03下,福田,竹子林,万科香蜜原著,2020,4室,179,2430,13.56,-5.81,2026-03-31
2026-03下,福田,竹子林,香诗美林,2003,3室,91,697,7.69,-8.05,2026-03-17
2026-03下,福田,竹子林,越海家园,2005,3室,97,635,6.54,-3.79,2026-03-18
