period,region,area,community,year_built,room_type,area_sqm,total_price_wan,unit_price_wan_sqm,negotiation_rate,deal_date
2026-03上,福田,香蜜湖,财富广场,2003,1室,48,504,10.55,,2026-03-04
2026-03上,福田,香蜜湖,合正香蜜原著,2014,4室,116,1670,14.37,-0.02,2026-03-04
2026-03上,福田,香蜜湖,侨香村,2011,3室,91,825,9.07,,2026-03-08
2026-03上,福田,香蜜湖,侨香村,2011,3室,91,785,8.62,-8.89,2026-03-04
2026-03上,福田,香蜜湖,香蜜湖豪庭,2002,2室,55,635,11.55,-0.78,2026-03-04
2026-03上,福田,香蜜湖,星海园,2003,3室,108,940,8.74,-12.96,2026-03-13
2026-03上,福田,竹子林,建业小区,1985,3室,70,465,6.67,-15.45,2026-03-03
2026-03上,福田,车公庙,国基高尔夫球园二期,1998,4室,190,1228,6.46,-4.67,2026-03-08
2026-03上,福田,车公庙,都市花园,1999,3室,89,222,2.50,-10.65,2026-03-15
2026-03上,福田,车公庙,天安高尔夫天蓝园,2008,3室,153,1428,9.33,-6.05,2026-03-04
2026-03上,福田,香梅北,华盛顿凤,2008,1室,57,550,9.27,-8.18,2026-03-08
2026-03上,福田,香梅北,景尚雅苑,2006,1室,45,415,9.27,-10.07,2026-03-15
2026-03上,福田,香梅北,深房传麒景苑,2018,1室,27,117,4.26,-4.07,2026-03-08
2026-03上,福田,香梅北,深房传麒景苑,2018,1室,27,117,4.26,-26.88,2026-03-08
2026-03上,福田,香梅北,特安皇之,1995,1室,93,816,9.59,-3.77,2026-03-08
2026-03上,福田,景田,蜂梦园,1995,1室,41,207,5.04,-9.48,2026-03-12
2026-03上,福田,景田,景田北村,1994,1室,25,208,6.19,-1.34,2026-03-15
2026-03上,福田,景田,景田西小区,1993,3室,99,605,6.07,-14.29,2026-03-08
2026-03上,福田,景田,景田西小区,1993,3室,87,540,6.07,-11.48,2026-03-08
2026-03上,福田,景田,擎天华庭,2003,1室,70,358,5.14,-23.50,2026-03-04
2026-03上,福田,景田,紫薇阁,1999,1室,55,357,5.13,-20.89,2026-03-11
2026-03上,福田,景田,紫薇阁,1999,1室,55,387,6.87,-14.42,2026-03-08
2026-03上,福田,景田,紫薇阁,1999,2室,55,377,6.87,-16.27,2026-03-15
2026-03上,福田,福田中心,彩天名都,2001,3室,86,420,4.89,-2.33,2026-03-11
2026-03上,福田,福田中心,福莲花园,1990,3室,86,440,5.13,-5.12,2026-03-08
2026-03上,福田,福田中心,海滨大厦,1990,3室,99,540,5.45,-11.27,2026-03-09
2026-03上,福田,福田中心,黄埔雅苑花园,2001,4室,80,602,7.50,-14.00,2026-03-04
2026-03上,福田,福田中心,黄埔雅苑花园,2001,4室,137,1220,8.95,-1.53,2026-03-12
2026-03上,福田,福田中心,星河世纪,2004,1室,42,280,6.67,-2.76,2026-03-08
2026-03上,福田,福田中心,中海华苑,2000,3室,88,750,8.50,-3.85,2026-03-14
2026-03上,福田,福田中心,中银花园,1997,3室,99,415,4.22,-17.00,2026-03-08
2026-03上,福田,莲花,长城盛世家园二期,2004,2室,72,448,6.18,-4.68,2026-03-09
2026-03上,福田,梅林,碧华庭居,2000,2室,60,305,5.84,-9.76,2026-03-11
2026-03上,福田,梅林,海康大厦,2003,1室,33,155,4.55,-6.25,2026-03-15
2026-03上,福田,梅林,海康大厦,2003,1室,29,135,4.73,-10.00,2026-03-10
2026-03上,福田,梅林,海康大厦,2003,3室,47,215,4.57,-14.67,2026-03-13
2026-03上,福田,梅林,合旺园,1999,2室,60,200,3.34,-12.28,2026-03-08
2026-03上,福田,梅林,红梅苑,1997,2室,76,290,3.82,-5.84,2026-03-04
2026-03上,福田,梅林,嘉葆阳光雅居,2007,1室,40,246,6.13,-12.14,2026-03-05
2026-03上,福田,梅林,璟悦公馆,2013,3室,70,340,4.86,-20.93,2026-03-04
2026-03上,福田,梅林,绿景虹湾,2015,4室,89,565,6.44,-14.13,2026-03-11
2026-03上,福田,梅林,绿景虹湾,2015,3室,51,311,6.44,-16.20,2026-03-08
2026-03上,福田,梅林,梅林四村,1991,3室,86,338,3.93,-11.05,2026-03-08
2026-03上,福田,梅林,梅林一村,1998,3室,85,208,2.44,,2026-03-01
2026-03上,福田,梅林,梅兴苑,1995,2室,61,243,3.98,-9.33,2026-03-12
2026-03上,福田,梅林,尚书苑,2005,1室,43,234,5.41,-15.90,2026-03-08
2026-03上,福田,梅林,水木澜山园,2008,3室,88,564,6.39,-8.26,2026-03-08
2026-03上,福田,梅林,御锦公馆,2013,1室,29,96,3.23,-20.17,2026-03-04
2026-03上,福田,梅林,御锦公馆,2013,1室,30,95,3.17,-20.17,2026-03-04
2026-03上,福田,上下沙,京基滨河时代,2014,1室,62,260,4.18,-12.75,2026-03-08
2026-03上,福田,上下沙,中洲滨海华府一期,2020,1室,43,157,3.67,-21.50,2026-03-08
2026-03上,福田,新洲,嘉洲家园,1998,1室,81,338,4.18,-21.40,2026-03-08
2026-03上,福田,新洲,绿景新洋苑,2004,2室,70,426,6.13,-2.07,2026-03-09
2026-03上,福田,新洲,绿景中城天悦花园,2008,4室,48,352,7.30,-3.70,2026-03-09
2026-03上,福田,新洲,蜜园,2007,2室,74,358,4.81,-5.79,2026-03-07
2026-03上,福田,新洲,韵动家园,2005,1室,41,184,4.46,-20.00,2026-03-08
2026-03上,福田,石厦,合正佳园,2003,2室,73,484,6.62,-14.29,2026-03-09
2026-03上,福田,石厦,皇达东方雅苑,2002,2室,78,485,6.25,-8.49,2026-03-09
2026-03上,福田,石厦,皇都广场,1999,4室,136,465,3.41,-0.64,2026-03-07
2026-03上,福田,石厦,皇庭世纪,2004,2室,59,362,6.15,-6.70,2026-03-04
2026-03上,福田,石厦,丽阳天下,2003,1室,32,276,8.62,-4.83,2026-03-04
2026-03上,福田,石厦,丽阳天下,2003,1室,37,287,7.82,-0.07,2026-03-08
2026-03上,福田,石厦,丽阳天下,2003,1室,37,293,7.92,-2.17,2026-03-13
2026-03上,福田,石厦,丽阳天下,2003,1室,44,350,7.93,-5.41,2026-03-14
2026-03上,福田,石厦,南方国际广场,2005,1室,34,246,7.19,-5.38,2026-03-06
2026-03上,福田,石厦,南方国际广场,2005,1室,33,257,7.57,-1.57,2026-03-09
2026-03上,福田,石厦,南方国际广场,2005,1室,36,251,6.90,-3.46,2026-03-06
2026-03上,福田,石厦,南方国际广场,2005,1室,33,223,6.73,-5.11,2026-03-08
2026-03上,福田,石厦,益田村,1994,4室,93,513,5.54,-4.65,2026-03-03
2026-03上,福田,石厦,益田村,1994,4室,93,508,5.45,-3.79,2026-03-08
2026-03上,福田,皇岗,福民新村,1990,4室,88,380,4.32,-20.83,2026-03-08
2026-03上,福田,皇岗,恒福花园,1995,1室,63,275,4.36,-3.51,2026-03-08
2026-03上,福田,皇岗,恒福花园,1995,1室,47,219,4.64,-8.58,2026-03-04
2026-03上,福田,皇岗,皇庭彩园,2003,2室,58,295,5.06,-10.61,2026-03-08
2026-03上,福田,皇岗,皇御苑二期,2003,3室,112,650,5.79,,2026-03-08
2026-03上,福田,皇岗,皇御苑四期,2011,1室,42,189,4.49,-8.35,2026-03-08
2026-03上,福田,皇岗,金地名津,2007,2室,60,302,5.07,-24.50,2026-03-09
2026-03上,福田,皇岗,金地名津,2007,1室,60,215,3.57,-15.69,2026-03-12
2026-03上,福田,皇岗,金港豪庭,2003,2室,74,416,5.85,-4.80,2026-03-09
2026-03上,福田,皇岗,金港豪庭,2003,2室,56,317,5.68,,2026-03-06
2026-03上,福田,皇岗,京悦苑,1996,4室,150,905,6.01,-3.77,2026-03-04
2026-03上,福田,皇岗,赛格绿园,1999,2室,67,358,4.71,-7.29,2026-03-04
2026-03上,福田,皇岗,英拉大厦,1994,3室,83,293,3.51,-10.55,2026-03-13
2026-03上,福田,皇岗,馨蕊园,2000,3室,85,430,5.04,-10.42,2026-03-04
2026-03上,福田,福田保税区,城市米线公寓,2003,1室,54,210,3.90,-6.67,2026-03-04
2026-03上,福田,福田保税区,红树城,2007,1室,33,173,5.21,-1.99,2026-03-04
2026-03上,福田,福田保税区,园梦湾,2000,4室,140,825,5.89,-4.07,2026-03-07
2026-03上,福田,百花,百花公寓,1993,3室,107,852,7.97,-29.00,2026-03-14
2026-03上,福田,百花,南天二花园,1992,3室,95,980,10.35,,2026-03-08
2026-03上,福田,百花,南天二花园,1992,3室,88,931,10.56,-3.02,2026-03-08
2026-03上,福田,百花,南天二花园,1992,3室,95,960,10.10,-7.51,2026-03-08
2026-03上,福田,百花,南天二花园,1992,3室,89,906,10.31,,2026-03-09
2026-03上,福田,百花,南天一花园,1989,3室,107,866,8.12,-2.48,2026-03-04
2026-03上,福田,百花,长安花园,1995,3室,103,725,7.03,-3.07,2026-03-04
2026-03上,福田,百花,长城花园,1985,3室,86,608,7.11,-5.00,2026-03-04
2026-03上,福田,园岭,园岭新村,1983,3室,81,480,5.93,-9.43,2026-03-04
2026-03上,福田,八卦岭,八卦岭宿舍,1983,1室,32,107,3.34,-4.91,2026-03-04
2026-03上,福田,八卦岭,八卦岭宿舍,1983,1室,29,97,3.28,-10.37,2026-03-04
2026-03上,福田,八卦岭,八卦岭宿舍,1983,1室,28,104,3.71,-5.45,2026-03-04
2026-03上,福田,八卦岭,城市主场,2005,1室,45,207,4.60,-13.03,2026-03-04
2026-03上,福田,八卦岭,城市主场,2005,1室,45,208,4.62,-11.49,2026-03-14
2026-03上,福田,八卦岭,鹏盛村,1992,1室,39,120,3.08,-24.37,2026-03-08
2026-03上,福田,八卦岭,鹏盛村,1992,1室,32,92,2.93,-5.10,2026-03-04
2026-03上,福田,八卦岭,鹏盛花园,1994,1室,16,70,4.37,-30.00,2026-03-12
2026-03上,福田,八卦岭,鹏盛花园,1994,2室,65,231,3.57,-10.81,2026-03-04
2026-03上,福田,八卦岭,旭飞花园,2000,1室,30,90,3.00,-10.81,2026-03-04
2026-03上,福田,八卦岭,旭飞花园,2000,1室,21,90,4.28,-9.09,2026-03-04
2026-03上,福田,黄木岗,华富村,2023,3室,115,1300,11.35,-5.80,2026-03-02
2026-03上,福田,黄木岗,华富村,2023,4室,114,1040,9.13,-3.70,2026-03-03
2026-03上,福田,华强北,城市绿洲花园,2002,3室,120,1148,9.57,-11.69,2026-03-08
2026-03上,福田,华强北,东风汽车大厦,1982,3室,100,509,5.09,-6.81,2026-03-08
2026-03上,福田,华强北,都会100,2002,2室,57,290,5.13,-17.14,2026-03-04
2026-03上,福田,华强北,都会100,2002,1室,50,270,5.26,-5.14,2026-03-10
2026-03上,福田,华强北,阁林网苑,2002,1室,43,286,6.71,-4.03,2026-03-08
2026-03上,福田,华强北,阁林网苑,2002,1室,16,197,12.16,-13.82,2026-03-14
2026-03上,福田,华强北,恒邦壹峰,2017,2室,40,144,3.59,-5.13,2026-03-04
2026-03上,福田,华强北,恒邦壹峰,2017,1室,42,145,3.79,-12.56,2026-03-04
2026-03上,福田,华强北,红荔村,1989,1室,75,610,8.13,-19.74,2026-03-04
2026-03上,福田,华强北,红荔村,1989,4室,92,700,7.64,-4.14,2026-03-04
2026-03上,福田,华强北,金茂礼都,2004,1室,45,495,11.17,-4.81,2026-03-10
2026-03上,福田,华强北,群星广场,2001,1室,47,430,9.15,-2.27,2026-03-14
2026-03上,福田,华强北,赛格公寓,1991,1室,48,358,7.42,-3.24,2026-03-04
2026-03上,福田,华强北,玮鹏花园,2003,1室,78,510,6.82,-6.69,2026-03-04
2026-03上,福田,华强北,中航比骆大厦,2012,3室,103,660,6.43,-17.50,2026-03-04
