period,region,area,community,year_built,room_type,area_sqm,total_price_wan,unit_price_wan_sqm,negotiation_rate,deal_date
2026-06上,福田,香蜜湖,东海国际公寓,2014,3室,145,1030,7.1,-1.9,2026-06-03
2026-06上,福田,香蜜湖,东海花园,1997,3室,123,1285,10.42,,2026-06-11
2026-06上,福田,香蜜湖,东海花园二期福禄居,2000,3室,119,1450,12.17,,2026-06-11
2026-06上,福田,香蜜湖,侨香村,2011,3室,93,778,8.38,-13.56,2026-06-07
2026-06上,福田,香蜜湖,熙园,2004,5室,291,4700,16.14,-6.0,2026-06-03
2026-06上,福田,香蜜湖,香蜜湖第一生态苑,2003,5室,286,5550,19.38,-4.31,2026-06-04
2026-06上,福田,竹子林,碧海云天一期,2003,4室,290,2898,10.01,-11.1,2026-06-04
2026-06上,福田,竹子林,碧海云天一期,2003,4室,164,1422,8.67,-9.31,2026-06-05
2026-06上,福田,竹子林,博林贡院,2004,3室,135,978,7.24,-9.44,2026-06-05
2026-06上,福田,竹子林,海德园,2023,3室,87,1062,12.18,-0.47,2026-06-01
2026-06上,福田,竹子林,建业小区,1985,3室,58,448,7.78,-6.67,2026-06-01
2026-06上,福田,竹子林,越海家园,2005,3室,90,590,6.56,-6.35,2026-06-07
2026-06上,福田,竹子林,竹盛花园一期,1996,3室,114,564,4.94,-10.48,2026-06-13
2026-06上,福田,车公庙,君临天下,2013,2室,70,415,5.96,-4.6,2026-06-08
2026-06上,福田,香梅北,景尚雅苑,2006,1室,31,394,12.75,-6.19,2026-06-15
2026-06上,福田,香梅北,景秀年华家园,2002,3室,76,545,7.14,-17.42,2026-06-01
2026-06上,福田,香梅北,七街公馆,2010,1室,43,168,3.87,-1.18,2026-06-01
2026-06上,福田,香梅北,七街公馆,2010,1室,45,160,3.58,-23.08,2026-06-08
2026-06上,福田,香梅北,深房传麒景苑,2018,1室,27,127,4.67,-6.3,2026-06-06
2026-06上,福田,香梅北,特发小区,1995,3室,79,658,8.34,-5.73,2026-06-05
2026-06上,福田,景田,安通花园,1997,2室,74,372,5.0,-9.93,2026-06-09
2026-06上,福田,景田,缔梦园,1999,2室,55,320,5.79,-8.57,2026-06-09
2026-06上,福田,景田,华富大厦,2001,2室,70,350,5.01,-9.79,2026-06-02
2026-06上,福田,景田,金色假日,2004,2室,62,365,5.87,-8.29,2026-06-06
2026-06上,福田,景田,景城府,2003,2室,73,669,9.16,-1.63,2026-06-06
2026-06上,福田,景田,景田西小区,1993,3室,90,518,5.78,-30.93,2026-06-01
2026-06上,福田,景田,香蜜新村,1987,2室,67,397,5.89,-11.87,2026-06-13
2026-06上,福田,福田中心,澳新亚大厦,2011,1室,41,134,3.26,-10.67,2026-06-11
2026-06上,福田,福田中心,彩福大厦,2001,3室,120,518,4.3,-13.67,2026-06-13
2026-06上,福田,福田中心,彩虹新都,1995,4室,119,378,3.18,-5.03,2026-06-13
2026-06上,福田,福田中心,深大新村,1992,3室,90,406,4.51,-10.96,2026-06-11
2026-06上,福田,莲花,彩田村,2002,3室,90,687,7.63,-6.53,2026-06-01
2026-06上,福田,莲花,彩田村,2002,3室,80,610,7.6,-5.86,2026-06-11
2026-06上,福田,莲花,彩田村,2002,3室,80,600,7.47,-6.98,2026-06-11
2026-06上,福田,莲花,莲花北村,1993,3室,87,410,4.69,-13.68,2026-06-11
2026-06上,福田,莲花,莲花北村,1993,3室,81,388,4.78,-9.77,2026-06-12
2026-06上,福田,莲花,莲花二村,1989,3室,83,618,7.42,-11.71,2026-06-09
2026-06上,福田,梅林,翰岭院,2004,4室,109,840,7.74,-6.46,2026-06-10
2026-06上,福田,梅林,汇龙花园,1997,1室,42,218,5.21,-5.22,2026-06-03
2026-06上,福田,梅林,锦林新居,1996,3室,61,275,4.51,-10.71,2026-06-12
2026-06上,福田,梅林,凯丰花园二期,2005,1室,32,167,5.16,-6.18,2026-06-10
2026-06上,福田,梅林,理想公馆,2015,3室,70,338,4.83,-3.43,2026-06-03
2026-06上,福田,梅林,绿景虹湾,2015,4室,149,1150,7.74,-4.17,2026-06-08
2026-06上,福田,梅林,梅林二村,1992,2室,67,305,4.56,-21.79,2026-06-02
2026-06上,福田,梅林,梅林一村,1998,4室,121,1030,8.53,-21.97,2026-06-07
2026-06上,福田,梅林,梅林一村,1998,3室,98,630,6.4,-10.0,2026-06-09
2026-06上,福田,梅林,梅兴苑,1995,1室,42,160,3.83,-10.11,2026-06-14
2026-06上,福田,梅林,栖棠映山,2016,4室,187,1618,8.63,,2026-06-01
