period,region,area,community,year_built,room_type,area_sqm,total_price_wan,unit_price_wan_sqm,negotiation_rate,deal_date
2026-04上,福田,香蜜湖,财富广场,2003,1室,49,487,9.99,,2026-04-07
2026-04上,福田,香蜜湖,财富广场,2003,2室,61,530,8.70,-5.43,2026-04-14
2026-04上,福田,香蜜湖,东海国际公寓,2014,3室,244,1680,6.89,-25.33,2026-04-02
2026-04上,福田,香蜜湖,东海花园,1997,3室,122,1230,10.11,,2026-04-08
2026-04上,福田,香蜜湖,豪峰园,1999,3室,108,913,8.44,,2026-04-08
2026-04上,福田,香蜜湖,合正香蜜原著,2014,4室,114,1569,13.81,-7.65,2026-04-08
2026-04上,福田,香蜜湖,侨香村,2011,3室,91,934,10.26,,2026-04-13
2026-04上,福田,香蜜湖,侨香村,2011,3室,91,840,9.26,,2026-04-03
2026-04上,福田,香蜜湖,侨香村,2011,3室,91,878,9.62,-7.58,2026-04-11
2026-04上,福田,香蜜湖,侨香村,2011,3室,91,800,8.82,-9.09,2026-04-08
2026-04上,福田,香蜜湖,深南中学家属楼,1997,2室,84,678,8.05,,2026-04-13
2026-04上,福田,香蜜湖,香茘绿洲,2002,3室,160,1820,11.35,,2026-04-13
2026-04上,福田,香蜜湖,香蜜湖豪庭,2002,3室,69,718,10.30,-7.95,2026-04-12
2026-04上,福田,竹子林,宝能公馆,2016,1室,228,2800,12.28,-6.67,2026-04-13
2026-04上,福田,竹子林,金竹花园,1996,3室,93,420,4.51,,2026-04-15
2026-04上,福田,竹子林,锦庐花园,2014,3室,87,1422,16.28,-3.92,2026-04-15
2026-04上,福田,竹子林,万科香蜜府,2020,4室,178,2475,13.88,-0.20,2026-04-09
2026-04上,福田,竹子林,竹园小区,2002,1室,22,223,5.08,,2026-04-04
2026-04上,福田,车公庙,都市花园,1999,2室,65,320,5.01,,2026-04-13
2026-04上,福田,车公庙,都市花园,1999,2室,64,298,4.69,-9.15,2026-04-07
2026-04上,福田,车公庙,泰康轩,2002,2室,62,370,5.98,,2026-04-08
2026-04上,福田,车公庙,泰康轩,2002,1室,31,220,7.03,,2026-04-05
2026-04上,福田,香梅北,深房传麒景苑,2018,1室,27,123,4.47,-27.08,2026-04-13
2026-04上,福田,香梅北,深房传麒景苑,2018,1室,27,121,4.43,-20.00,2026-04-15
2026-04上,福田,景田,东方玫瑰花园,1999,6室,255,2000,7.84,,2026-04-09
2026-04上,福田,景田,金色假日,2004,1室,40,216,5.36,-6.09,2026-04-06
2026-04上,福田,景田,金色假日,2004,2室,59,354,5.99,-6.84,2026-04-04
2026-04上,福田,景田,锦文阁大厦,1999,1室,45,180,4.00,,2026-04-03
2026-04上,福田,景田,景发花园,1995,3室,88,460,5.21,-8.00,2026-04-08
2026-04上,福田,景田,景龙大厦,1998,3室,103,546,5.29,,2026-04-08
2026-04上,福田,景田,景田西小区,1993,2室,76,510,6.71,,2026-04-08
2026-04上,福田,景田,凯旋豪庭,2007,2室,66,401,6.08,,2026-04-12
2026-04上,福田,景田,凯旋豪庭,2007,2室,62,410,6.61,,2026-04-12
2026-04上,福田,景田,万邦家园,2003,2室,69,330,4.77,,2026-04-03
2026-04上,福田,景田,香蜜新村,1987,3室,84,538,6.42,-7.24,2026-04-04
2026-04上,福田,景田,香蜜新村,1987,2室,74,488,6.58,,2026-04-04
2026-04上,福田,景田,TT国际公寓,2005,1室,29,158,5.49,-8.14,2026-04-04
2026-04上,福田,景田,TT国际公寓,2005,1室,40,247,6.25,-4.26,2026-04-14
2026-04上,福田,福田中心,彩福大厦,2001,3室,96,410,4.29,-10.48,2026-04-12
2026-04上,福田,福田中心,彩福大厦,2001,3室,96,415,4.35,-7.37,2026-04-12
2026-04上,福田,福田中心,彩天名都,1995,3室,121,375,3.10,,2026-04-05
2026-04上,福田,福田中心,福莲花园,1990,3室,98,600,6.12,-10.18,2026-04-04
2026-04上,福田,福田中心,福源大厦,1996,2室,79,340,4.32,-14.57,2026-04-14
2026-04上,福田,福田中心,黄埔雅苑一期,2001,4室,143,1386,9.73,,2026-04-12
2026-04上,福田,福田中心,天健世纪花园,2003,3室,127,1071,8.44,-9.27,2026-04-09
2026-04上,福田,福田中心,中银花园,1997,3室,99,427,4.29,-11.04,2026-04-12
2026-04上,福田,福田中心,中银花园,1997,2室,85,338,3.99,-11.05,2026-04-11
2026-04上,福田,莲花,彩田村,2002,3室,91,685,7.53,,2026-04-07
2026-04上,福田,莲花,莲花北村,1993,2室,71,383,5.38,-10.51,2026-04-08
2026-04上,福田,莲花,莲花北村,1993,3室,87,433,4.97,,2026-04-15
2026-04上,福田,莲花,莲花二村,1989,3室,86,613,7.12,-5.69,2026-04-06
2026-04上,福田,莲花,深业岭秀名苑,2004,4室,86,458,5.33,,2026-04-08
2026-04上,福田,莲花,长城盛世家园二期,2004,4室,124,767,6.20,,2026-04-03
2026-04上,福田,莲花,长城盛世家园二期,2004,3室,113,650,5.76,,2026-04-12
2026-04上,福田,梅林,碧华庭居,2000,3室,106,561,5.29,-7.73,2026-04-06
2026-04上,福田,梅林,碧云天,1999,3室,86,416,4.82,-9.57,2026-04-08
2026-04上,福田,梅林,东方苑,1999,2室,77,295,3.83,-10.06,2026-04-12
2026-04上,福田,梅林,海康大厦,2003,1室,29,134,4.69,-15.19,2026-04-08
2026-04上,福田,梅林,翰岭院,2004,3室,96,695,7.24,-3.47,2026-04-11
2026-04上,福田,梅林,汇龙花园,1991,3室,42,211,5.06,-14.92,2026-04-12
2026-04上,福田,梅林,凯丰花园一期,1997,3室,90,346,3.84,-11.08,2026-04-04
2026-04上,福田,梅林,梅林二村,1992,2室,72,328,4.53,-6.29,2026-04-04
2026-04上,福田,梅林,梅林二村,1992,3室,99,425,4.29,,2026-04-06
2026-04上,福田,梅林,梅林一村,1998,3室,98,568,5.69,,2026-04-08
2026-04上,福田,梅林,梅林一村,1998,3室,98,578,5.88,-6.77,2026-04-08
2026-04上,福田,梅林,梅林一村,1998,3室,97,568,5.85,-8.09,2026-04-09
2026-04上,福田,梅林,梅林一村三区,2002,3室,90,526,5.84,,2026-04-11
2026-04上,福田,梅林,梅林一村十二区,2000,3室,118,675,5.71,,2026-04-07
2026-04上,福田,梅林,梅林一村十二区,2000,4室,91,493,5.41,,2026-04-15
2026-04上,福田,梅林,梅林一村四区,1998,3室,96,628,6.54,,2026-04-04
2026-04上,福田,梅林,梅兴苑,1995,3室,98,355,3.62,-8.51,2026-04-02
2026-04上,福田,梅林,通业花园,2001,2室,64,306,4.75,-16.85,2026-04-12
2026-04上,福田,梅林,万洋云顶香蜜湖,2014,5室,177,1736,9.80,,2026-04-15
2026-04上,福田,梅林,新世界四季山水,2009,3室,159,590,3.71,-50.83,2026-04-01
2026-04上,福田,梅林,新世界四季山水,2009,3室,159,590,3.71,-50.83,2026-04-13
2026-04上,福田,梅林,御锦公馆,2013,4室,60,250,4.15,,2026-04-07
2026-04上,福田,上下沙,花好园,2005,1室,41,227,5.56,-12.69,2026-04-08
2026-04上,福田,上下沙,万科金域蓝湾三期,2007,3室,159,660,6.61,-11.02,2026-04-08
2026-04上,福田,上下沙,中洲滨海商业中心,2021,1室,37,157,4.21,-13.00,2026-04-12
2026-04上,福田,沙尾,绿景红树湾壹号,2000,4室,167,1650,9.87,-9.34,2026-04-08
2026-04上,福田,新洲,福昌园,1999,3室,109,595,5.44,-10.66,2026-04-15
2026-04上,福田,新洲,嘉葆润金座,2012,2室,34,173,5.08,-12.75,2026-04-12
2026-04上,福田,新洲,祥云天都世纪大厦,2007,2室,80,362,4.55,-9.05,2026-04-12
2026-04上,福田,新洲,韵动家园,2005,1室,41,190,4.64,-9.52,2026-04-14
2026-04上,福田,石厦,缔馨园,2002,3室,80,286,7.34,-14.88,2026-04-15
2026-04上,福田,石厦,合正佳园,2003,2室,83,480,6.86,,2026-04-01
2026-04上,福田,石厦,宏轩大厦,2005,1室,44,300,6.83,-8.54,2026-04-09
2026-04上,福田,石厦,宏轩大厦,2005,3室,70,446,6.39,-13.90,2026-04-03
2026-04上,福田,石厦,葵花公寓,2008,1室,36,308,8.68,-6.86,2026-04-09
2026-04上,福田,石厦,丽阳天下,2003,1室,32,269,8.44,-7.34,2026-04-09
2026-04上,福田,石厦,绿洲丰和,2005,1室,42,320,7.66,,2026-04-06
2026-04上,福田,石厦,绿洲丰和,2005,1室,42,302,7.23,,2026-04-04
2026-04上,福田,石厦,明月花园,1992,2室,105,540,5.14,,2026-04-08
2026-04上,福田,石厦,南方国际广场,2005,1室,34,249,7.28,-2.93,2026-04-02
2026-04上,福田,石厦,南方国际广场,2005,1室,36,255,7.03,,2026-04-03
2026-04上,福田,石厦,南方国际广场,2005,2室,84,380,4.52,-9.52,2026-04-11
2026-04上,福田,石厦,南方国际广场,2005,2室,87,388,4.49,-7.62,2026-04-14
2026-04上,福田,石厦,南方国际广场,2005,2室,88,442,5.02,-6.04,2026-04-04
2026-04上,福田,石厦,新天石厦铭苑,2025,2室,51,420,8.24,-4.55,2026-04-04
2026-04上,福田,石厦,星座大厦,2005,1室,43,343,7.99,-4.19,2026-04-12
2026-04上,福田,石厦,益田村,1994,3室,92,442,4.81,-6.95,2026-04-04
2026-04上,福田,石厦,益田村,1994,3室,97,489,5.04,-8.60,2026-04-08
2026-04上,福田,石厦,益田村,1994,3室,88,440,5.00,-7.37,2026-04-08
2026-04上,福田,石厦,益田村,1994,2室,62,336,5.42,-5.62,2026-04-10
2026-04上,福田,石厦,众孚大厦,2002,3室,78,385,4.94,-3.75,2026-04-07
2026-04上,福田,皇岗,晨晖家园,2004,1室,36,120,3.35,-25.00,2026-04-09
2026-04上,福田,皇岗,福民佳园,2004,3室,102,668,6.57,-2.91,2026-04-08
2026-04上,福田,皇岗,福泉花园,1996,3室,80,336,4.18,,2026-04-08
2026-04上,福田,皇岗,福业大厦,1999,3室,83,357,4.31,-8.49,2026-04-08
2026-04上,福田,皇岗,海滨大厦,2003,2室,68,290,4.17,-6.86,2026-04-08
2026-04上,福田,皇岗,皇庭彩园,2003,3室,77,450,5.86,,2026-04-09
2026-04上,福田,皇岗,皇庭彩园,2003,2室,67,335,4.99,-6.94,2026-04-14
2026-04上,福田,皇岗,皇御苑二期,2003,2室,64,354,5.53,-6.97,2026-04-09
2026-04上,福田,皇岗,皇御苑二期,2003,3室,86,529,6.16,-6.90,2026-04-11
2026-04上,福田,皇岗,皇御苑四期,2011,1室,58,330,5.68,-5.71,2026-04-06
2026-04上,福田,皇岗,皇御苑一期,2001,3室,101,542,5.36,,2026-04-13
2026-04上,福田,皇岗,嘉福花园,2001,3室,80,438,5.44,,2026-04-03
2026-04上,福田,皇岗,金地名津,2007,1室,43,180,4.18,-5.26,2026-04-01
2026-04上,福田,皇岗,金地名津,2007,1室,59,245,4.13,-5.41,2026-04-04
2026-04上,福田,皇岗,金地名津,2007,2室,57,343,6.03,-4.72,2026-04-08
2026-04上,福田,皇岗,金港豪庭,2003,2室,73,442,6.02,-5.19,2026-04-09
2026-04上,福田,皇岗,景源年庭,2007,3室,97,519,5.37,,2026-04-11
2026-04上,福田,皇岗,深物业金领,2019,2室,65,400,6.37,-2.73,2026-04-09
2026-04上,福田,皇岗,阳基阳光城市,2005,2室,65,349,5.40,,2026-04-08
2026-04上,福田,皇岗,阳基阳光城市,2005,1室,33,216,6.56,-9.24,2026-04-10
2026-04上,福田,皇岗,益田点彩人家,2002,3室,108,640,5.93,-8.31,2026-04-04
2026-04上,福田,皇岗,益田点彩人家,2002,1室,50,308,5.39,-6.10,2026-04-08
2026-04上,福田,皇岗,云顶翠峰一期,2000,4室,165,928,5.62,-7.20,2026-04-08
2026-04上,福田,福田保税区,城市米线公寓,2003,1室,55,206,3.77,-6.36,2026-04-13
2026-04上,福田,福田保税区,帝港海湾豪庭,2003,2室,63,320,5.12,-1.56,2026-04-12
2026-04上,福田,福田保税区,加福广场华盛御府邸,2005,1室,42,189,4.48,,2026-04-15
2026-04上,福田,福田保税区,自由港湾公寓,2002,1室,27,129,4.78,-3.08,2026-04-13
2026-04上,福田,百花,百花公寓,1993,3室,107,886,8.32,,2026-04-12
2026-04上,福田,百花,国境花园,1997,2室,88,965,10.95,-13.84,2026-04-07
2026-04上,福田,百花,国境花园,1997,3室,95,1030,10.84,,2026-04-08
2026-04上,福田,百花,南天二花园,1992,3室,95,1017,10.74,,2026-04-09
2026-04上,福田,百花,长乐花园,1994,2室,91,645,7.10,-2.27,2026-04-12
2026-04上,福田,园岭,园岭新村,1983,3室,84,483,5.75,-8.56,2026-04-08
2026-04上,福田,园岭,园岭新村,1983,3室,83,416,5.03,-7.56,2026-04-02
2026-04上,福田,园岭,园岭新村,1983,2室,75,406,5.40,,2026-04-12
2026-04上,福田,园岭,园岭新村,1983,4室,93,431,4.65,-10.21,2026-04-08
2026-04上,福田,园岭,园岭新村,1983,3室,82,525,6.39,,2026-04-14
2026-04上,福田,八卦岭,城市主场,2005,1室,33,200,6.14,-18.37,2026-04-02
2026-04上,福田,八卦岭,城市主场,2005,1室,45,269,5.80,-28.92,2026-04-13
2026-04上,福田,八卦岭,鹏盛村,1992,1室,31,96,3.14,-5.71,2026-04-13
2026-04上,福田,八卦岭,鹏盛年华,2003,1室,39,161,4.17,-8.00,2026-04-08
2026-04上,福田,八卦岭,鹏盛益花园,1994,2室,68,280,4.09,-6.04,2026-04-04
2026-04上,福田,八卦岭,鹏益年华,1994,2室,64,260,4.07,,2026-04-08
2026-04上,福田,八卦岭,庆安航空大厦,1994,2室,49,190,3.88,-11.63,2026-04-04
2026-04上,福田,八卦岭,盛世鹏程,2005,4室,133,963,7.24,-10.85,2026-04-08
2026-04上,福田,八卦岭,先科机电大厦,1997,1室,44,112,2.53,-25.67,2026-04-04
2026-04上,福田,八卦岭,旭飞花园,2000,1室,35,109,3.09,-19.63,2026-04-04
2026-04上,福田,八卦岭,旭飞花园,2000,1室,36,143,3.98,-2.07,2026-04-12
2026-04上,福田,八卦岭,旭飞花园,2000,1室,37,149,4.07,,2026-04-05
2026-04上,福田,八卦岭,旭飞花园,2000,1室,15,78,5.03,-8.82,2026-04-07
2026-04上,福田,华强北,宝树台,2018,1室,47,188,4.04,-5.05,2026-04-12
2026-04上,福田,华强北,宝树台,2018,1室,32,296,9.21,-6.03,2026-04-12
2026-04上,福田,华强北,宝树台,2018,1室,32,340,10.58,-3.41,2026-04-08
2026-04上,福田,华强北,宝树台,2018,1室,47,192,4.12,-3.03,2026-04-12
2026-04上,福田,华强北,东方时代广场,2004,1室,27,162,5.91,,2026-04-02
