period,region,area,community,year_built,room_type,area_sqm,total_price_wan,unit_price_wan_sqm,negotiation_rate,deal_date
2026-05下,福田,香蜜湖,财富广场,2003,1室,79,580,7.31,-3.33,2026-05-16
2026-05下,福田,香蜜湖,财富广场,2003,1室,49,495,10.15,-1.0,2026-05-19
2026-05下,福田,香蜜湖,翠海花园二期,2003,4室,165,1938,11.72,-18.57,2026-05-23
2026-05下,福田,香蜜湖,枫丹雅苑,2001,3室,126,764,6.07,-13.18,2026-05-22
2026-05下,福田,香蜜湖,听泉居,2009,2室,82,750,9.16,-2.34,2026-05-24
2026-05下,福田,香蜜湖,熙园,2004,4室,200,3100,15.53,-7.46,2026-05-16
2026-05下,福田,香蜜湖,熙园,2004,4室,198,3096,15.65,-14.0,2026-05-18
2026-05下,福田,香蜜湖,香蜜湖水榭花都,2004,3室,147,2653,18.05,-1.74,2026-05-28
2026-05下,福田,香蜜湖,阳光高尔夫大厦,2004,1室,67,410,6.08,-1.91,2026-05-16
2026-05下,福田,香蜜湖,中旅国际公馆2期,2005,3室,104,1551,14.95,-7.68,2026-05-30
2026-05下,福田,竹子林,安峦公馆,2018,3室,66,450,6.83,,2026-05-16
2026-05下,福田,竹子林,竹园小区,1996,2室,66,449,6.85,-9.84,2026-05-17
2026-05下,福田,竹子林,竹园小区,1996,1室,22,238,11.06,-11.85,2026-05-22
2026-05下,福田,竹子林,竹园小区,1996,1室,22,247,11.45,-0.6,2026-05-30
2026-05下,福田,车公庙,富通九曜公馆,2023,3室,108,909,8.4,-5.29,2026-05-20
2026-05下,福田,车公庙,趣园,2004,1室,52,213,4.09,-3.18,2026-05-27
2026-05下,福田,车公庙,泰然小区,1990,1室,32,158,4.9,-4.24,2026-05-28
2026-05下,福田,香梅北,景秀年华家园,2002,2室,67,540,8.06,-9.7,2026-05-18
2026-05下,福田,景田,合正名园,2001,1室,36,205,5.65,-17.34,2026-05-20
2026-05下,福田,景田,华茂欣园,2004,4室,155,854,5.52,-4.04,2026-05-27
2026-05下,福田,景田,景田西小区,1993,2室,77,462,6.03,-3.79,2026-05-23
2026-05下,福田,景田,聚豪园,2000,3室,108,710,6.59,-5.33,2026-05-26
2026-05下,福田,景田,缇香名苑,2004,5室,162,1209,7.46,-6.13,2026-05-31
2026-05下,福田,景田,香蜜新村,1987,3室,89,610,6.85,-5.28,2026-05-25
2026-05下,福田,景田,香蜜新村,1987,3室,85,555,6.54,-6.88,2026-05-27
2026-05下,福田,景田,香蜜新村,1987,3室,91,600,6.59,-5.65,2026-05-30
2026-05下,福田,福田中心,福莲花园,1990,3室,82,500,6.13,-9.09,2026-05-19
2026-05下,福田,福田中心,福源大厦,1996,3室,94,468,5.0,-2.5,2026-05-22
2026-05下,福田,福田中心,岗厦城,2019,3室,89,630,7.05,-12.5,2026-05-25
2026-05下,福田,福田中心,皇家翠苑,2002,4室,143,789,5.51,-8.89,2026-05-26
2026-05下,福田,福田中心,黄埔雅苑三期,2003,4室,165,1448,8.79,-2.69,2026-05-27
2026-05下,福田,福田中心,深业花园,2001,4室,142,1300,9.15,-5.8,2026-05-23
